CA 0.10 0.50
OR 0.11 0.78
WA 0.13 0.89
NV 0.15 0.61
ID 0.21 0.74
AZ 0.22 0.40
UT 0.24 0.57
MT 0.31 0.84
WY 0.31 0.69
CO 0.35 0.54
NM 0.32 0.39
ND 0.44 0.84
SD 0.45 0.72
NE 0.45 0.63
KS 0.47 0.51
OK 0.48 0.41
TX 0.44 0.25
MN 0.54 0.79
IA 0.55 0.64
MO 0.57 0.51
AR 0.57 0.38
LA 0.59 0.22
WI 0.62 0.74
IL 0.64 0.57
MI 0.70 0.69
IN 0.68 0.58
OH 0.74 0.60
PA 0.83 0.64
NY 0.85 0.74
VT 0.88 0.78
NH 0.93 0.78
ME 0.95 0.86
MA 0.92 0.73
RI 0.95 0.66
CT 0.90 0.68
NJ 0.89 0.63
DE 0.90 0.56
MD 0.85 0.58
DC 0.82 0.57
VA 0.83 0.50
WV 0.78 0.55
KY 0.72 0.49
NC 0.82 0.44
TN 0.68 0.43
SC 0.80 0.37
GA 0.75 0.32
FL 0.81 0.13
AL 0.69 0.30
MS 0.63 0.31
